sec,x,y
0,708.9,1079.91
0.734,713.31,1000.41
0.868,724.36,991.57
1.034,733.19,965.07
1.135,689.02,832.57
1.168,638.23,704.48
1.335,605.1,607.31
1.368,613.94,631.6
1.702,600.69,636.02
1.869,618.35,662.52
2.036,633.81,704.48
2.103,653.69,759.69
2.203,675.77,801.65
2.336,666.94,779.57
2.503,684.6,790.61
2.637,689.02,711.11
2.77,662.52,644.85
2.937,631.6,638.23
3.038,638.23,671.35
3.138,680.19,748.65
3.171,742.02,750.86
3.271,825.94,700.06
3.371,889.99,587.43
3.505,867.9,611.73
3.572,753.07,675.77
3.638,724.36,671.35
3.705,704.48,633.81
3.772,689.02,616.14
3.872,671.35,649.27
3.906,715.52,675.77
3.939,728.77,684.6
4.006,779.57,686.81
4.072,814.9,633.81
4.173,801.65,618.35
4.273,761.9,658.1
4.34,748.65,653.69
4.406,766.32,571.98
4.473,803.86,538.85
4.573,792.82,545.48
4.673,783.98,616.14
4.774,825.94,693.44
4.907,799.44,660.31
4.974,730.98,653.69
5.141,669.15,636.02
5.241,682.4,609.52
5.274,708.9,571.98
5.308,768.52,545.48
5.341,795.02,530.02
5.475,728.77,567.56
5.608,779.57,525.6
5.675,850.23,538.85
5.742,905.44,605.1
5.808,881.15,666.94
5.909,814.9,713.31
5.975,779.57,755.27
6.176,759.69,770.73
6.376,739.81,781.77
6.61,719.94,823.73
6.71,735.4,803.86
6.81,744.23,779.57
6.91,748.65,682.4
6.977,726.56,642.65
7.044,706.69,627.19
7.111,669.15,631.6
7.244,673.56,686.81
7.578,629.39,680.19
7.745,629.39,744.23
7.845,671.35,817.11
7.945,662.52,876.74
8.045,673.56,859.07
8.212,684.6,865.69
8.813,724.36,892.19
9.013,735.4,903.24
9.414,746.44,914.28
9.548,764.11,905.44
9.715,795.02,852.44
9.881,786.19,726.56
10.015,750.86,697.86
10.149,761.9,735.4
10.449,739.81,755.27
10.716,854.65,748.65
10.783,936.36,744.23
10.85,1029.12,737.61
10.916,1062.24,759.69
11.751,945.2,839.19
11.885,823.73,841.4
11.985,808.28,759.69
12.085,806.07,706.69
12.185,788.4,708.9
12.285,772.94,766.32
12.586,812.69,812.69
12.753,845.82,799.44
12.853,845.82,766.32
13.02,845.82,700.06
13.12,834.78,704.48
13.287,808.28,691.23
13.42,825.94,770.73
13.721,936.36,512.35
13.854,1018.07,532.22
13.988,1046.78,620.56
14.088,1082.12,702.27
14.188,1146.16,755.27
14.355,1183.7,790.61
15.223,1086.53,783.98
15.358,906.33,849.96
15.39,861.28,881.15
15.458,823.68,899.05
15.592,768.18,899.05
15.692,821.89,809.54
15.792,911.4,714.66
15.892,963.32,641.26
15.992,872.02,689.6
16.092,687.62,662.74
16.193,651.82,621.57
16.293,678.67,650.21
16.426,644.66,625.15
16.526,633.92,646.63
16.627,630.34,668.11
16.727,712.69,805.96
16.827,750.28,863.25
16.927,734.17,873.99
17.027,741.33,841.77
17.127,771.77,813.12
17.328,780.72,788.06
17.428,778.93,757.63
17.528,750.28,718.24
17.628,752.07,730.77
17.728,761.02,780.9
17.929,737.75,736.14
18.029,730.59,696.76
18.129,746.7,689.6
18.329,701.95,669.9
18.496,716.27,770.16
18.596,719.85,750.47
18.696,703.74,675.28
18.797,700.16,639.47
18.897,646.45,650.21
18.997,641.08,673.49
19.097,616.01,652
19.197,642.87,653.79
19.297,691.2,675.28
19.398,780.72,703.92
19.498,857.7,775.53
19.598,875.6,797.01
19.932,859.49,807.75
19.971,801.96,838.61
20.032,812.94,836.4
20.037,789.67,881.15
20.071,759.23,927.7
20.104,744.91,954.55
20.138,723.43,970.66
20.171,705.53,976.03
20.271,692.99,1026.16
20.305,703.74,1058.39
