sec,x,y
0,664.51,394.06
0.166,668.7,390.69
0.534,673.26,392.6
0.567,675.26,382.6
0.634,677.26,376.6
0.701,680.26,369.6
0.834,687.26,366.6
1.001,688.26,375.6
1.101,692.26,369.6
1.268,693.26,376.6
1.368,692.26,389.6
1.468,689.26,398.6
1.535,692.26,405.6
1.736,688.26,399.6
1.869,687.26,407.6
1.936,683.26,416.6
2.103,689.26,406.6
2.17,676.26,395.6
2.303,668.26,392.6
2.503,659.26,387.6
2.57,649.26,380.6
2.77,656.26,374.6
2.871,665.26,370.6
2.971,685.26,356.6
3.071,696.26,356.6
3.138,707.26,359.6
3.204,706.26,367.6
3.505,699.26,364.6
3.572,690.26,381.6
3.672,675.26,380.6
3.772,656.26,381.6
3.872,644.26,379.6
3.939,631.26,388.6
4.039,617.26,383.6
4.139,611.26,374.6
4.273,624.26,378.6
4.34,644.26,373.6
4.373,657.26,352.6
4.473,678.26,339.6
4.54,688.26,333.6
4.64,689.26,345.6
4.707,689.26,359.6
4.74,689.26,372.6
5.041,698.26,386.6
5.341,684.26,393.6
5.541,691.26,395.6
5.742,680.26,402.6
5.842,685.26,396.6
6.009,677.26,387.6
6.109,674.26,402.6
6.209,668.26,406.6
6.343,651.26,406.6
6.576,660.26,390.6
6.643,662.26,377.6
6.677,667.26,367.6
6.71,669.26,356.6
6.777,679.26,350.6
6.91,685.26,361.6
7.01,690.26,372.6
7.077,697.26,390.6
7.144,706.26,399.6
7.244,715.26,409.6
7.378,724.26,417.6
7.511,719.26,413.6
7.611,711.26,406.6
7.678,681.26,399.6
7.745,668.26,395.6
7.812,661.26,395.6
7.912,677.26,398.6
7.979,680.26,408.6
8.045,677.26,420.6
8.246,686.26,415.6
8.713,682.26,410.6
8.78,679.26,399.6
8.847,674.26,392.6
8.947,671.26,381.6
9.214,669.26,373.6
9.614,677.26,372.6
9.781,687.26,377.6
9.881,702.26,381.6
10.149,708.26,390.6
10.449,696.26,386.6
10.549,706.26,385.6
10.616,707.26,379.6
10.683,721.26,379.6
10.85,715.26,393.6
10.916,714.26,402.6
10.983,711.26,416.6
11.183,708.26,407.6
11.317,719.26,410.6
11.584,712.26,407.6
11.718,703.26,396.6
11.751,697.26,389.6
11.784,688.26,377.6
11.851,669.26,369.6
11.885,655.26,362.6
11.951,639.26,356.6
12.018,632.26,358.6
12.118,648.26,381.6
12.152,669.26,390.6
12.185,685.26,395.6
12.252,696.26,415.6
12.452,703.26,419.6
12.719,698.26,406.6
12.786,698.26,391.6
12.886,702.26,378.6
13.153,693.26,384.6
13.32,693.26,369.6
13.554,687.26,378.6
13.587,691.26,369.6
13.654,685.26,379.6
13.687,695.26,380.6
13.821,687.26,380.6
13.954,693.26,379.6
14.088,705.26,372.6
14.222,721.26,379.6
14.288,736.26,402.6
14.355,756.26,404.6
14.555,767.26,402.6
14.814,760.26,398.6
14.881,737.26,397.6
14.948,718.26,395.6
15.048,703.26,392.6
15.081,693.26,388.6
15.115,686.26,384.6
15.148,680.26,374.6
15.248,672.26,368.6
15.281,654.26,359.6
15.348,636.26,350.6
15.448,625.26,345.6
15.482,611.26,345.6
15.682,619.26,353.6
15.749,637.26,362.6
15.849,646.26,370.6
15.882,667.26,369.6
15.916,680.26,367.6
15.983,701.26,368.6
16.016,692.93,366.6
16.083,721.26,365.6
16.149,711.26,368.6
16.283,685.26,368.6
16.35,671.26,370.6
16.45,647.26,376.6
16.483,628.26,380.6
16.583,607.26,380.6
16.617,615.26,381.6
16.65,601.26,379.6
16.684,591.26,375.6
16.784,614.26,365.6
16.851,632.26,366.6
16.884,670.26,374.6
16.917,680.26,384.6
16.951,676.26,375.6
17.084,692.26,365.6
17.251,683.26,354.6
17.485,671.26,355.6
17.652,672.26,367.6
17.752,676.26,360.6
17.885,694.26,357.6
17.952,683.26,362.6
18.052,693.26,366.6
18.119,675.26,376.6
18.219,685.26,374.6
18.319,676.26,365.6
18.52,665.26,379.6
18.72,636.26,379.6
18.854,622.26,385.6
18.887,615.26,406.6
18.954,615.26,427.6
19.087,611.26,417.6
19.187,628.26,407.6
19.288,642.26,393.6
19.354,658.26,387.6
19.388,658.26,381.6
19.455,671.26,382.6
19.488,681.26,379.6
19.621,685.26,385.6
19.722,685.26,395.6
19.822,686.26,385.6
19.989,676.26,379.6
20.122,674.26,374.6
20.222,674.26,367.6
