sec,x,y
0,704.58,1050.21
0.924,727.49,1003.29
0.958,734.04,984.74
0.991,734.04,974.92
1.124,722.03,966.19
1.691,728.58,946.55
1.991,732.95,933.46
2.324,751.49,923.64
2.624,756.95,913.82
2.791,754.77,885.45
2.858,751.49,848.35
2.891,766.77,727.24
2.924,770.04,660.68
2.958,786.41,603.94
2.991,804.96,531.93
3.058,835.51,493.74
3.091,848.6,437
3.258,831.15,454.46
3.291,812.6,502.47
3.324,815.87,527.56
3.391,820.23,554.84
3.491,802.78,577.75
3.558,787.5,634.49
3.624,766.77,670.5
3.658,758.04,707.6
3.691,738.4,763.24
3.724,720.94,786.16
3.758,718.76,793.79
3.824,734.04,798.16
4.091,717.67,816.71
4.324,735.13,812.34
4.424,727.49,770.88
4.458,742.77,733.78
4.491,777.68,654.13
4.524,792.96,634.49
4.558,802.78,629.04
4.691,758.04,653.04
4.724,744.95,673.77
4.758,741.67,689.05
4.791,724.22,714.14
4.858,735.13,725.05
4.891,706.76,747.97
4.958,693.67,761.06
5.124,710.03,767.61
5.358,689.3,766.52
5.524,670.75,704.32
5.591,671.84,665.04
5.691,644.57,594.12
5.758,644.57,569.02
5.824,646.75,579.93
5.891,656.57,622.49
5.958,647.84,647.58
5.991,640.2,654.13
6.058,642.38,687.96
6.091,640.2,731.6
6.124,635.84,763.24
6.191,646.75,774.15
6.324,620.56,802.52
6.391,628.2,801.43
6.791,656.57,799.25
6.924,728.58,773.06
6.958,750.4,751.24
6.991,784.23,725.05
7.058,810.41,709.78
7.124,831.15,654.13
7.191,810.41,593.03
7.258,784.23,541.75
7.291,748.22,509.01
7.324,678.39,480.64
7.391,644.57,488.28
7.558,640.2,529.74
7.724,653.29,516.65
7.924,701.3,517.74
7.991,750.4,523.2
8.091,807.14,534.11
8.158,802.78,488.28
8.291,851.88,506.83
8.324,888.97,521.01
8.524,886.79,512.29
8.591,895.52,489.37
8.724,929.35,525.38
8.924,933.71,507.92
8.958,904.25,514.47
9.058,879.15,521.01
9.124,919.53,554.84
9.191,944.62,586.48
9.324,917.34,637.76
9.391,876.97,692.32
9.457,859.51,702.14
9.491,831.15,746.88
9.524,767.86,831.98
9.591,726.4,869.08
9.724,711.12,852.71
9.857,715.49,827.62
10.624,749.31,823.25
10.807,729.67,811.25
10.936,771.13,781.79
10.969,792.96,758.88
11.036,824.6,744.69
11.069,842.06,719.6
11.102,844.24,648.68
11.136,849.69,609.39
11.169,845.33,565.75
11.236,831.15,527.56
11.269,804.96,492.65
11.302,738.4,469.73
11.336,706.76,461
11.369,692.57,464.28
11.536,691.48,506.83
11.702,706.76,549.38
11.902,737.31,661.77
11.936,743.86,704.32
11.969,751.49,726.14
12.069,755.86,765.42
12.136,788.59,801.43
12.236,807.14,829.8
12.302,858.42,895.27
12.569,881.34,824.34
12.702,854.06,806.89
12.836,831.15,801.43
12.936,800.59,800.34
13.002,799.5,782.88
13.069,812.6,702.14
13.102,826.78,577.75
13.136,858.42,526.47
13.169,887.88,494.83
13.302,899.89,476.28
13.336,875.88,509.01
13.402,878.06,526.47
13.469,876.97,578.84
13.536,909.71,615.94
13.602,918.44,614.85
13.936,934.8,641.04
14.002,929.35,621.4
14.069,896.61,575.57
14.136,840.97,487.19
14.202,846.42,463.19
14.472,839.46,487.8
14.669,896.61,547.2
14.802,911.89,641.04
14.869,922.8,713.05
15.002,948.99,785.06
15.102,972.99,804.7
15.236,975.17,777.43
15.302,993.72,732.69
15.536,963.17,770.88
15.802,929.35,775.24
15.969,893.34,786.16
16.102,864.97,781.79
16.169,837.69,797.07
16.436,863.88,819.98
16.631,905.34,814.52
16.856,962.08,778.52
16.889,956.62,743.6
16.956,962.08,718.51
17.122,864.97,605.03
17.156,843.15,525.38
17.222,855.15,476.28
17.256,870.43,454.46
17.389,886.79,438.09
17.689,888.97,502.47
17.756,878.06,529.74
17.889,910.8,534.11
17.989,911.89,514.47
18.189,887.88,507.92
18.389,884.61,577.75
18.556,926.07,598.48
18.689,840.97,581.03
18.822,873.7,524.29
18.922,918.44,481.73
18.989,897.7,486.1
19.089,850.79,481.73
19.135,701.92,520.99
19.189,703.49,540.65
19.289,734.04,534.11
19.422,752.59,507.92
19.522,775.5,540.65
19.622,801.69,548.29
19.722,830.05,539.56
19.822,807.14,559.2
19.922,754.77,600.67
20.022,749.31,613.76
20.122,764.59,617.03
20.222,778.77,665.04
20.322,761.31,738.15
20.422,746.04,789.43
20.522,738.4,750.15
20.622,750.4,685.77
20.689,752.59,685.77
20.822,752.59,767.61
20.856,753.68,790.52
20.956,750.4,769.79
21.089,823.51,653.04
21.289,812.6,710.87
21.389,724.22,887.63
21.456,708.94,933.46
21.522,690.39,995.65
21.589,675.12,1050.21
21.656,680.57,1054.57
