sec,x,y
0,690.51,372.4
0.833,695.68,366.56
0.899,702.96,355.03
1.166,705.94,361.78
1.299,711.35,371.48
1.366,707.68,372.66
1.533,700.94,377.43
1.766,693.64,365.13
2.033,685.83,368.13
2.266,687.2,373.51
2.333,692.69,375.29
2.399,693.32,368.58
2.799,684.34,366.63
2.866,685.6,364.8
3.099,693.64,373.25
3.133,689.41,378.69
3.266,691.9,385.24
3.533,697.46,378.85
3.599,707.16,375.16
3.699,718.63,373.27
3.766,728.26,376.87
3.833,731.79,382.27
3.866,729.31,388.9
3.899,728.04,400.37
4.199,714.84,391.86
4.266,708.11,387.51
4.299,703.02,375.57
4.333,691.74,378.94
4.366,688.11,375.27
4.466,678.47,374.59
4.499,664.57,372.14
4.533,667.06,372.13
4.673,655.79,373.26
4.739,651.71,372.61
4.891,661.81,375.29
5.091,643.5,371.47
5.106,633.91,371.18
5.206,628.23,368.7
5.273,630.93,368.68
5.339,629.98,372.89
5.406,633.89,374.67
5.506,637.91,370.96
5.706,647.73,370.85
5.873,652.49,368.34
6.006,652.87,361.62
6.106,648.91,357.38
6.206,652.25,348.92
6.306,648.9,339.91
6.473,656.7,336.51
6.573,652.72,337.88
6.939,639.25,342.69
7.191,638.49,346.75
7.224,637.28,347.29
7.258,642.5,347.83
7.291,641.81,346.18
7.306,679.47,348.61
7.324,673.65,348.37
7.373,709.87,351.7
7.539,693.99,365.15
7.691,696.5,364.03
7.739,684.36,365.11
8.206,694.52,370.47
8.339,697.6,362.51
8.533,700.3,363.56
8.824,694.9,359.7
8.924,699.18,359.04
9.139,704.95,378.24
9.233,704.83,374.22
9.266,702.94,375.23
9.339,698.8,359.81
9.406,695.16,353.16
9.472,691.55,342.9
9.499,697.95,337.43
9.539,680.07,333.91
9.606,674.71,332.24
9.666,675.83,331.65
9.699,668.09,330.4
9.706,656.72,331.26
9.806,646.75,330.9
9.866,648.53,330
9.899,638.18,333
9.972,638.96,351.32
10.266,640.54,351.72
10.299,635.04,351.72
10.306,623,352.82
10.333,627.84,351.8
10.433,626.28,348.61
10.439,610.51,352.32
10.506,615.86,342.67
10.572,616.33,337.33
10.739,644.18,343.14
10.772,654.03,354.1
10.833,642.82,352.63
10.839,660.96,359.6
10.866,656.93,361.08
10.906,671.49,363.25
10.939,678.23,362.04
11.006,680.78,362.04
11.272,695.76,362.04
11.299,690.91,359.52
11.339,704.26,371.74
11.472,704.2,378.9
11.539,699.32,378.79
11.706,685.37,367.02
11.772,674.55,354.86
11.872,672.96,350.69
11.939,670.1,341.06
12.099,682.02,335.19
12.106,704.51,342.61
12.133,701.28,340.33
12.166,710.1,344.36
12.172,723.87,350.62
12.233,714.79,347.75
12.239,738.25,349.48
12.266,728.93,352.21
12.299,738.89,352.82
12.306,756.18,356.23
12.366,750.77,351.54
12.372,743.07,349
12.439,748.22,341.81
12.466,747.68,342.36
12.472,739.57,342.49
12.499,743.04,342.86
12.506,727.92,339.52
12.533,734.05,336.09
12.566,724.03,337.57
12.572,708.93,337.86
12.599,716.52,339.23
12.633,716.4,340.01
12.666,710.42,341.56
12.672,696.1,342.96
12.699,703.43,341.47
12.733,689.22,349.31
12.739,675.51,355.21
12.766,680.43,355.17
12.866,671.2,359.29
12.872,658.86,359.55
12.899,669.83,356.62
12.939,660.97,352.3
12.999,658.12,352.73
13.066,660.69,351.36
13.072,679.09,351.22
13.099,661.75,353.54
13.166,687.92,356.52
13.172,703.55,359.83
13.199,696.74,360.11
13.233,696.89,358.07
13.266,704.61,359.73
13.272,719.26,367.73
13.299,712.37,364.27
13.333,729.88,368.83
13.339,740.93,377.39
13.366,739.96,370.86
13.439,754.4,383.89
13.506,762.47,380.09
13.572,757.14,376.92
13.666,754.65,369.95
13.672,740.72,369.47
13.699,741.18,367.49
13.733,730.29,363.2
13.739,698.57,364.57
13.766,705.28,364.5
13.799,694.68,365.62
13.839,696.15,360.9
13.899,698.1,357.65
13.906,709.51,354.24
14.006,708.78,345.25
14.172,715.25,331.04
14.439,702.59,334.48
14.733,703.51,333.87
14.806,694.54,340.62
15.039,688.62,346.13
15.339,694.5,353.46
15.499,686.41,355.07
15.506,674.61,356.09
15.533,681.27,355.94
15.772,667.69,345.42
15.833,665.91,345.02
15.972,686.22,347.14
16.172,669.05,345.19
16.406,680.49,345.23
16.539,699.1,344.4
16.739,700.31,337.13
16.866,703.66,332.96
16.872,715.43,329.85
16.899,709.8,333.26
16.933,710.77,333.72
16.972,732.1,332.26
17.066,737.14,334.2
17.099,739.98,335.45
17.106,753.7,332.4
17.133,740.42,333.91
17.166,750.56,327.72
17.372,740.58,329.08
17.733,731.2,329.12
17.839,743.92,326.75
18.006,752.55,328.07
18.166,758.3,323.44
18.299,748.16,325.05
18.306,740.92,328.02
18.333,748.22,323.91
18.339,726.03,324.06
18.366,732.65,316.55
18.372,723.98,315.9
18.433,726.24,310.21
18.439,713.25,310.62
18.466,713.91,310.62
18.499,710.47,306.79
18.506,696.64,306.05
18.533,710.19,306.18
18.599,694.01,302.7
18.666,698.77,303.25
18.699,697.47,309.38
18.706,701.61,313.86
18.972,699.6,327.13
19.166,700.18,333.37
19.172,713.51,338.33
19.239,704.1,338.83
19.333,710.77,339.89
19.466,704.89,346.9
19.533,696.76,344.2
19.566,688.05,340.08
19.572,678.69,342.58
19.733,669.21,343.16
19.772,688.67,330.68
20.138,685.31,331.58
20.304,697.28,338.18
20.371,689.46,345.64
20.433,692.44,346.18
20.566,682.21,352.98
20.571,672.26,350.38
20.671,682.29,345.6
20.904,674.99,353.42
21.399,689.49,358.38
21.838,684.99,361.04
21.938,680.75,363.69
22.033,688.32,363.79
22.071,682.02,365.53
22.3,679.6,363.3
