sec,x,y
0,664.21,1056.75
0.833,676.93,1040.99
0.899,648.45,906.42
0.933,629.05,823.38
0.966,606.01,720.94
0.999,594.5,602.13
1.066,577.11,491.47
1.099,532.95,396.72
1.166,538.47,395.8
1.233,555.95,416.04
1.266,567.91,424.32
1.399,552.27,408.68
1.533,574.35,425.24
1.633,575.27,452.83
1.699,578.94,452.83
1.766,580.78,431.68
1.833,575.27,419.72
1.933,605.62,418.8
2.033,633.22,439.96
2.099,608.38,425.24
2.266,637.81,439.04
2.333,671.85,464.79
2.399,707.72,472.15
2.466,730.72,472.15
2.533,796.03,519.06
2.599,808.9,560.45
2.733,774.87,562.29
2.799,750.95,542.98
2.866,736.24,525.5
2.886,694.03,489.58
2.899,698.98,489.63
2.933,676.45,468.47
2.966,656.21,444.55
2.999,636.89,422.48
3.099,618.5,377.41
3.258,613.77,393.03
3.299,630.46,434.44
3.333,627.7,469.39
3.366,628.62,484.11
3.499,611.14,456.51
3.533,595.5,436.28
3.599,584.46,397.64
3.666,573.43,369.13
3.699,571.59,358.09
3.833,579.86,371.89
3.933,585.38,399.48
4.133,582.62,408.68
4.199,586.3,427.08
4.299,593.66,469.39
4.366,571.59,495.15
4.433,556.87,509.86
4.499,575.27,526.42
4.533,581.7,531.02
4.666,565.15,516.3
4.691,538.59,453.92
4.733,520.08,433.52
4.766,490.64,415.12
4.866,467.64,396.72
4.899,440.05,417.88
4.958,447.84,427.61
4.966,446.49,452.83
5.033,455.69,443.63
5.099,516.4,392.12
5.166,536.63,378.33
5.266,545.83,387.52
5.299,578.02,396.72
5.366,608.38,457.43
5.399,612.98,473.07
5.466,590.9,473.99
5.499,554.11,431.68
5.533,542.15,423.4
5.599,555.95,423.4
5.699,579.86,446.39
5.766,610.22,487.79
5.833,612.06,525.5
5.899,622.18,533.78
5.966,577.11,536.54
6.033,544.91,530.1
6.066,507.2,520.9
6.091,404.13,486.23
6.133,361.86,480.43
6.199,325.99,461.11
6.266,345.31,463.87
6.29,414.32,441.69
6.299,399.58,437.2
6.333,438.21,414.2
6.399,450.17,380.17
6.466,439.13,366.37
6.49,477.73,313.96
6.533,526.51,313.94
6.566,570.67,322.22
6.633,576.19,338.77
6.699,548.28,333.87
6.733,577.11,356.25
6.833,589.06,364.53
6.933,592.74,385.68
6.999,560.55,384.76
7.066,547.67,387.52
7.124,502.8,422.64
7.166,513.64,416.04
7.191,511.5,429.32
7.206,552.13,451.26
7.224,524.69,445.2
7.299,562.39,464.79
7.333,644.25,534.7
7.399,686.57,645.08
7.466,693,682.79
7.599,674.61,670.83
7.766,640.57,646.92
7.891,600.13,637.19
7.933,573.43,601.85
7.966,543.07,553.1
7.999,518.24,507.1
8.066,501.68,452.83
8.099,527.43,407.76
8.133,641.49,387.52
8.166,718.76,393.04
8.199,764.75,417.88
8.299,777.63,468.47
8.333,788.67,520.9
8.399,763.83,524.58
8.466,760.15,492.39
8.499,750.03,452.83
8.533,750.03,393.04
8.566,768.43,393.96
8.599,796.03,412.36
8.666,823.62,434.44
8.699,826.38,464.79
8.733,817.18,513.54
8.766,803.39,530.1
8.799,795.11,518.14
8.866,773.03,496.99
8.899,765.67,456.51
8.933,750.03,399.48
8.966,761.07,401.32
8.999,782.23,409.6
9.066,801.55,431.68
9.099,821.78,474.91
9.133,813.5,540.22
9.166,798.79,572.41
9.199,792.35,580.69
9.266,784.07,591.73
9.299,762.91,600.93
9.333,743.6,615.64
9.399,722.44,645.08
9.458,719.63,673.44
9.466,710.48,662.56
9.499,693.92,694.75
9.533,635.97,727.86
9.566,601.02,727.86
9.599,583.54,706.71
9.666,554.11,664.4
9.699,528.35,611.97
9.733,504.44,480.43
9.766,502.6,439.04
9.799,520.08,383.84
9.866,531.11,360.85
9.899,551.35,341.53
9.933,589.98,357.17
9.966,623.1,367.29
9.999,659.89,379.25
10.099,651.61,439.96
10.133,612.06,425.24
10.166,572.51,428.92
10.199,565.15,425.24
10.266,556.87,399.48
10.333,566.99,431.68
10.433,551.35,436.28
10.466,519.16,431.68
10.499,481.44,432.6
10.533,408.77,421.56
10.566,382.1,426.16
10.599,404.18,410.52
10.666,456.61,406.84
10.699,524.67,410.52
10.733,551.35,416.04
10.766,502.6,415.12
10.799,465.8,419.72
10.866,486.96,417.88
10.895,591.77,447.48
10.899,524.67,424.32
10.933,577.11,407.76
10.966,612.06,405.92
10.999,616.66,401.32
11.066,635.05,411.44
11.133,624.02,403.16
11.136,602.33,400.42
11.166,612.98,396.72
11.169,594.17,390.02
11.199,597.34,394.88
11.266,597.34,400.4
11.269,616.7,418.93
11.299,619.42,438.12
11.302,683.65,522.25
11.333,681.05,515.38
11.336,702.75,623.22
11.366,704.96,601.85
11.369,721.13,670.05
11.399,727.96,658.88
11.466,734.4,696.59
11.533,706.8,692.91
11.599,684.73,676.35
11.733,642.41,657.04
11.799,622.18,647.84
11.899,612.98,622.08
11.902,650.43,549.73
11.933,642.41,554.94
11.966,665.41,536.54
11.999,703.12,519.98
12.066,733.48,522.74
12.069,763.22,526.65
12.099,761.99,530.1
12.133,829.14,544.82
12.166,799.71,557.69
12.199,790.51,596.33
12.266,791.43,632.2
12.299,776.71,675.43
12.302,766.24,741.4
12.333,756.47,744.42
12.466,754.63,726.03
12.533,707.72,757.3
12.566,702.2,777.54
12.699,681.05,762.82
12.799,663.57,776.62
12.866,650.69,807.89
12.966,648.85,788.57
12.999,661.73,759.14
13.066,653.45,716.83
13.069,618.97,651.96
13.099,633.22,647.84
13.102,579.06,538.07
13.133,587.22,526.42
13.136,571.63,487.99
13.166,583.54,473.07
13.169,571.46,442.7
13.199,582.62,437.2
13.266,579.86,419.72
13.299,591.82,403.16
13.333,624.94,395.8
13.336,631.9,424.85
13.366,642.41,428.92
13.399,653.45,458.35
13.466,660.81,484.11
13.499,672.77,501.58
13.533,682.89,528.26
13.699,671.85,520.9
13.733,663.57,520.9
13.766,640.57,514.46
13.799,630.46,542.06
13.899,595.5,572.41
13.966,601.94,623
13.999,632.3,601.85
14.066,643.33,589.89
14.069,672.38,549.32
14.099,676.45,562.29
14.133,692.08,541.14
14.136,732.71,483.03
14.199,723.36,484.11
14.266,727.04,467.55
14.566,718.76,490.55
14.666,704.04,497.9
14.699,693,506.18
14.766,650.69,498.82
14.799,634.14,476.75
14.866,612.06,480.43
14.899,596.42,466.63
14.966,558.71,422.48
15.066,540.31,422.48
15.166,516.4,398.56
15.302,513.16,348.45
15.366,479.6,324.98
15.369,462.44,332.87
15.399,470.4,340.61
15.499,507.2,319.46
15.533,555.95,290.94
15.536,625.1,327.6
15.566,624.02,311.18
15.699,592.74,316.7
15.766,559.63,293.7
15.833,581.7,293.7
15.899,611.14,322.22
15.966,566.07,356.25
16.066,576.19,391.2
16.099,622.18,411.44
16.102,654.29,447.25
16.133,678.29,434.44
16.136,760.89,488.99
16.166,775.79,485.03
16.199,782.23,519.98
16.333,771.19,484.11
16.366,714.16,445.47
16.399,672.77,444.55
16.466,633.22,451.91
16.499,614.82,477.67
16.533,584.46,520.9
16.566,543.07,618.4
16.599,519.16,684.63
16.666,505.36,747.18
16.699,512.72,802.37
16.733,508.12,833.65
16.866,502.6,806.05
16.899,477.76,783.06
16.933,482.36,767.42
16.966,532.95,738.9
16.999,567.91,714.99
17.066,626.78,671.75
17.099,667.25,629.44
17.133,701.28,595.41
17.166,740.84,510.78
17.199,748.2,483.19
17.299,750.95,451.91
17.366,750.95,402.24
17.433,740.84,389.36
17.466,733.48,369.13
17.533,706.8,353.49
17.599,749.12,370.97
17.699,796.03,407.76
17.733,839.26,456.51
17.933,850.3,441.79
17.999,892.61,465.71
18.133,853.06,459.27
18.366,836.5,508.94
18.399,806.15,509.86
18.466,774.87,531.94
18.499,722.44,538.38
18.533,693,534.7
18.599,629.54,572.41
18.699,619.42,576.09
18.733,612.98,562.29
18.766,554.11,462.03
18.799,522.83,405.92
18.866,483.28,383.84
18.933,488.8,357.17
18.999,517.32,368.21
19.099,565.15,398.56
19.133,613.9,427.08
19.135,681.57,500.49
19.166,709.56,512.62
19.333,733.48,536.54
19.366,735.32,506.18
19.566,680.13,484.11
19.599,667.25,463.87
19.733,638.73,505.26
19.766,655.29,552.18
19.799,648.85,574.25
19.866,648.85,604.61
19.899,636.89,639.56
19.966,604.7,577.01
19.999,560.55,504.34
20.066,555.03,428.92
20.099,535.71,372.81
20.133,535.71,355.33
20.166,587.22,341.53
20.199,605.62,376.49
20.266,615.74,421.56
20.299,628.62,465.71
20.333,655.29,510.78
20.366,685.65,609.21
20.399,693,636.8
20.466,683.81,630.36
20.499,680.13,601.85
20.533,678.29,562.29
20.566,658.05,518.14
20.599,652.53,491.47
20.733,658.97,507.1
20.766,662.65,531.02
20.799,678.29,580.69
20.866,672.77,621.16
20.899,668.17,646.92
20.956,669.22,633
20.999,650.69,562.29
21.066,630.46,514.46
21.099,612.06,486.87
21.133,595.5,465.71
21.166,587.22,462.95
21.199,573.43,479.51
21.266,577.11,508.02
21.299,572.51,531.94
21.333,583.54,563.21
21.366,604.7,599.09
21.389,644.28,728.84
21.399,646.09,729.7
21.466,659.89,803.29
21.499,688.41,874.12
21.533,694.84,933.91
21.566,710.48,998.3
21.599,670.93,1038.77
21.666,672.77,1052.57
