sec,x,y
0,892.65,1065.18
0.433,819.26,1070.62
0.466,797.51,1069.26
0.5,767.61,1052.95
0.533,756.74,1006.74
0.566,740.43,964.61
0.633,730.92,948.3
0.666,732.28,930.63
0.766,733.64,907.53
0.866,737.71,893.94
0.966,740.43,883.07
1.1,744.51,878.99
1.233,744.51,874.91
1.333,740.43,874.91
1.366,736.35,876.27
1.666,732.28,868.12
1.733,760.82,854.53
1.866,770.33,857.24
1.9,774.41,857.24
1.933,779.84,861.32
2.133,770.33,854.53
2.166,764.89,825.99
2.233,771.69,806.96
2.266,767.61,778.42
2.3,763.53,758.03
2.333,778.48,726.78
2.366,809.74,688.72
2.391,811.25,682.68
2.433,813.82,672.41
2.5,812.46,658.82
2.566,805.67,672.41
2.633,802.95,687.36
2.7,794.79,707.75
2.966,804.31,691.44
3.1,823.33,675.13
3.133,832.85,662.9
3.166,845.08,634.36
3.266,851.87,619.41
3.366,826.05,615.33
3.466,805.67,622.13
3.5,797.51,622.13
3.533,782.56,616.69
3.566,744.51,599.02
3.633,722.76,582.71
3.666,706.45,574.56
3.7,673.84,565.05
3.766,677.91,580
3.9,696.94,582.71
3.933,722.76,584.07
3.966,722.76,590.87
4.033,718.69,590.87
4.1,713.25,593.59
4.166,729.56,673.77
4.233,756.74,718.62
4.266,781.2,764.83
4.3,788,781.14
4.333,781.2,778.42
4.366,756.74,753.96
4.433,747.23,710.47
4.466,751.3,686
4.5,751.3,647.95
4.533,758.1,616.69
4.566,748.59,586.79
4.633,734.99,567.77
4.666,729.56,562.33
4.7,717.33,562.33
4.766,702.38,578.64
5.1,714.61,580
5.166,747.23,573.2
5.233,759.46,571.84
5.3,762.18,600.38
5.333,760.82,612.61
5.366,764.89,643.87
5.433,749.94,654.74
5.466,743.15,658.82
5.5,730.92,660.18
5.533,710.53,661.54
5.566,692.86,668.34
5.933,699.66,664.26
5.966,690.15,605.82
6.033,692.86,601.74
6.066,696.94,585.43
6.366,687.43,580
6.5,681.99,580
6.566,681.99,581.36
6.666,690.15,607.18
6.7,728.2,620.77
6.733,759.46,628.92
6.833,749.94,588.15
6.866,726.84,567.77
6.9,721.4,551.46
7.233,730.92,560.97
7.3,743.15,608.54
7.333,751.3,635.72
7.366,749.94,658.82
7.433,754.02,687.36
7.466,754.02,696.88
7.5,751.3,703.67
7.833,759.46,717.26
7.9,762.18,725.42
8.1,745.87,717.26
8.266,749.94,724.06
8.333,758.1,743.08
8.566,759.46,748.52
8.7,759.46,755.32
8.833,747.23,751.24
8.933,756.74,730.85
8.966,764.89,714.54
9.033,797.51,662.9
9.066,802.95,645.23
9.166,828.77,628.92
9.233,819.26,633
9.266,786.64,664.26
9.3,774.41,677.85
9.333,755.38,709.11
9.366,748.59,722.7
9.566,751.3,729.49
9.633,754.02,751.24
9.666,749.94,760.75
9.733,737.71,774.34
9.833,722.76,790.65
9.866,713.25,797.45
9.966,701.02,800.16
10.166,677.91,812.4
10.3,672.48,806.96
10.9,676.56,800.16
10.933,683.35,796.09
10.966,676.56,786.57
11.033,681.99,756.67
11.066,698.3,729.49
11.1,711.89,710.47
11.266,698.3,692.8
11.3,691.5,684.64
11.333,676.56,661.54
11.366,665.68,641.15
11.433,656.17,593.59
11.533,653.45,607.18
11.633,637.14,619.41
11.766,639.86,626.2
11.833,656.17,637.08
11.866,672.48,628.92
11.9,694.22,605.82
11.933,703.74,588.15
12.033,667.04,592.23
12.1,683.35,605.82
12.166,688.79,641.15
12.233,676.56,671.05
12.266,668.4,677.85
12.3,667.04,700.95
12.333,657.53,728.13
12.433,660.25,753.96
12.466,668.4,733.57
12.533,669.76,739.01
12.566,672.48,721.34
12.633,683.35,679.21
12.7,680.63,641.15
12.733,687.43,622.13
12.8,686.07,585.43
12.833,687.43,562.33
12.966,656.17,578.64
13.033,590.93,635.72
13.1,597.73,615.33
13.166,623.55,600.38
13.366,626.27,620.77
13.466,633.07,635.72
13.533,631.71,642.51
13.566,631.71,652.03
13.633,628.99,668.34
13.666,626.27,709.11
13.7,630.35,725.42
13.866,628.99,707.75
13.966,638.5,724.06
14.033,638.5,736.29
14.166,634.42,726.78
14.333,645.3,756.67
14.5,646.66,771.62
14.7,650.73,785.21
14.9,653.45,737.65
14.933,660.25,706.39
14.966,669.76,675.13
15.033,684.71,657.46
15.066,699.66,643.87
15.2,703.74,676.49
15.266,691.5,684.64
15.466,691.5,714.54
15.566,687.43,740.37
15.7,696.94,755.32
15.8,703.74,755.32
15.866,711.89,758.03
15.966,725.48,752.6
16.066,726.84,730.85
16.133,730.92,707.75
16.2,726.84,692.8
16.266,734.99,633
16.3,754.02,616.69
16.333,770.33,600.38
16.466,751.3,627.56
16.5,730.92,643.87
16.533,717.33,683.29
16.633,676.56,743.08
16.667,680.63,782.5
16.767,687.43,800.16
17.067,699.66,805.6
17.1,711.89,797.45
17.167,717.33,763.47
17.267,728.2,686
17.3,734.99,630.28
17.333,726.84,589.51
17.433,694.22,531.07
17.467,664.32,612.61
17.5,661.61,635.72
17.533,661.61,679.21
17.633,676.56,740.37
17.667,706.45,805.6
17.733,730.92,816.47
18.067,728.2,835.5
18.1,730.92,857.24
18.167,745.87,892.58
18.233,754.02,908.89
18.3,773.05,933.35
18.367,797.51,952.38
18.433,809.74,957.82
18.467,828.77,974.12
18.567,846.44,976.84
18.667,880.41,1009.46
18.8,899.44,1029.85
19.233,888.57,1031.2
20.1,900.8,1017.61
20.133,891.29,979.56
20.167,911.67,940.15
20.267,923.9,820.55
20.3,914.39,781.14
20.333,930.7,760.75
20.367,903.52,732.21
20.433,900.8,711.83
20.467,874.98,686
20.5,841,613.97
20.533,836.92,580
20.567,849.16,562.33
20.633,860.03,540.58
20.7,843.72,558.25
20.733,817.9,590.87
20.767,811.1,642.51
20.833,789.36,710.47
20.867,777.13,774.34
20.9,801.59,902.09
20.933,820.62,941.51
21.033,842.36,965.97
21.1,869.54,960.53
21.267,847.8,949.66
21.3,835.56,938.79
21.333,805.67,910.25
21.367,792.08,880.35
21.433,774.41,836.86
21.467,760.82,796.09
21.5,720.04,680.57
21.533,705.1,623.49
21.567,705.1,578.64
21.633,675.2,520.2
21.7,618.12,475.35
21.733,615.4,539.22
21.767,611.32,577.28
21.833,612.68,607.18
21.867,614.04,633
21.9,650.73,677.85
21.933,668.4,709.11
22.067,696.94,715.9
22.1,715.97,743.08
22.167,734.99,774.34
22.267,745.87,800.16
22.3,773.05,819.19
22.367,781.2,834.14
22.467,797.51,836.86
22.5,816.54,820.55
22.567,842.36,797.45
22.667,854.59,781.14
22.7,860.03,770.27
23.1,872.26,783.86
23.2,896.72,782.5
23.3,922.54,775.7
23.5,910.31,793.37
23.633,898.08,806.96
23.767,885.85,789.29
23.867,879.05,760.75
23.9,884.49,710.47
23.933,891.29,668.34
23.967,896.72,631.64
24.033,919.83,631.64
24.1,925.26,616.69
24.167,902.16,613.97
24.267,873.62,569.12
24.3,874.98,517.48
24.367,889.93,499.81
24.467,880.41,505.25
24.5,849.16,581.36
24.533,820.62,623.49
24.567,819.26,658.82
24.633,797.51,675.13
24.667,777.13,684.64
24.7,720.04,698.23
24.733,696.94,699.59
24.9,671.12,692.8
24.967,658.89,684.64
25.033,643.94,666.98
25.233,622.19,703.67
25.3,654.81,700.95
25.367,722.76,627.56
25.433,790.72,571.84
25.467,826.05,562.33
25.5,881.77,563.69
25.533,858.67,581.36
25.567,827.41,581.36
25.633,817.9,573.2
25.7,819.26,544.66
25.733,788,571.84
25.767,785.28,601.74
25.833,786.64,641.15
25.867,788,664.26
25.9,773.05,679.21
26.006,781.92,692.63
26.1,774.41,650.67
26.167,762.18,628.92
26.267,729.56,588.15
26.3,710.53,559.61
26.367,686.07,548.74
26.467,680.63,570.48
26.5,698.3,586.79
26.606,725.76,586.18
26.633,696.94,550.1
26.667,641.22,514.76
26.673,743.15,506.61
26.706,760.82,497.09
26.873,726.84,498.45
26.906,740.43,536.51
27.073,764.89,623.49
27.106,821.97,724.06
27.139,861.39,782.5
27.173,923.9,849.09
27.239,970.11,906.17
27.273,1028.55,951.02
27.306,1120.97,1009.46
27.506,1082.91,1004.02
27.573,998.65,972.76
27.773,971.47,942.87
27.939,997.29,938.79
28.039,967.39,936.07
28.106,929.34,936.07
28.139,874.98,880.35
28.173,832.85,836.86
28.239,812.46,789.29
28.273,788,734.93
28.306,759.46,675.13
28.339,754.02,603.1
28.406,740.43,582.71
28.473,718.69,562.33
28.539,710.53,603.1
28.573,714.61,637.08
28.639,710.53,660.18
28.739,701.02,586.79
28.773,687.43,560.97
28.839,694.22,539.22
28.906,675.2,525.63
28.939,638.5,526.99
29.073,672.48,589.51
29.106,698.3,637.08
29.139,734.99,719.98
29.173,749.94,768.91
29.239,779.84,797.45
29.306,824.69,816.47
29.339,870.9,830.06
29.473,888.57,804.24
29.506,900.8,774.34
29.539,869.54,698.23
29.573,860.03,666.98
29.639,849.16,623.49
30.139,851.87,665.62
30.173,857.31,698.23
30.239,857.31,740.37
30.273,873.62,763.47
30.306,879.05,805.6
30.339,907.6,892.58
30.373,908.95,934.71
30.439,927.98,983.64
30.473,921.19,1006.74
30.539,922.54,1035.28
30.573,926.62,1052.95
30.673,903.52,1051.59
30.839,899.44,1017.61
30.939,892.65,970.05
30.973,918.47,949.66
31.173,904.88,906.17
31.539,884.49,914.33
31.739,883.13,883.07
31.906,872.26,849.09
31.939,861.39,793.37
31.973,851.87,747.16
32.039,842.36,696.88
32.073,830.13,643.87
32.106,836.92,604.46
32.139,796.15,524.28
32.239,778.48,517.48
32.506,783.92,540.58
32.539,807.02,551.46
32.573,835.56,569.12
32.639,860.03,569.12
32.673,892.65,567.77
32.706,918.47,559.61
32.739,951.09,513.4
32.773,936.14,494.38
32.839,889.93,484.86
32.873,841,475.35
32.906,789.36,478.07
32.939,739.07,509.33
32.973,711.89,502.53
33.073,692.86,495.74
33.106,673.84,502.53
33.139,646.66,512.04
33.239,638.5,529.71
33.306,654.81,537.87
33.339,687.43,556.89
33.373,718.69,556.89
33.406,733.64,566.41
33.439,762.18,554.17
33.473,815.18,535.15
33.506,887.21,537.87
33.539,1033.99,558.25
33.673,1053.01,582.71
33.706,1029.91,597.66
33.739,985.06,615.33
33.773,951.09,613.97
33.839,926.62,612.61
33.873,900.8,570.48
33.906,872.26,532.43
33.939,830.13,449.53
34.039,792.08,437.3
34.106,798.87,400.6
34.139,824.69,378.86
34.173,794.79,410.11
34.239,768.97,438.65
34.273,732.28,471.27
34.306,741.79,501.17
34.339,767.61,569.12
34.373,786.64,635.72
34.439,798.87,714.54
34.473,819.26,783.86
34.506,824.69,855.89
34.539,838.28,938.79
34.573,884.49,1035.28
34.706,904.88,1054.31
35.306,858.67,1046.15
35.439,834.21,1029.85
35.506,820.62,1006.74
35.573,792.08,979.56
35.673,754.02,997.23
35.706,730.92,1035.28
35.973,745.87,1044.8
