sec,x,y
0,664.75,392.07
0.333,671.54,387.99
0.366,668.82,373.04
0.433,671.54,362.17
0.533,660.67,362.17
0.666,657.95,371.68
0.7,652.51,377.12
0.733,656.59,378.47
0.866,659.31,386.63
0.966,657.95,393.42
1.2,664.75,393.42
1.333,662.03,394.78
1.433,659.31,393.42
1.533,656.59,389.35
1.633,664.75,392.07
1.666,667.46,393.42
1.7,674.26,393.42
1.733,676.98,393.42
1.766,681.05,394.78
1.866,685.13,394.78
2.033,679.7,393.42
2.166,674.26,392.07
2.366,676.98,385.27
2.5,685.13,383.91
2.633,690.57,386.63
3,697.36,383.91
3.1,693.29,390.71
3.166,689.21,389.35
3.766,693.29,397.5
3.9,685.13,396.14
4.1,694.65,390.71
4.233,696,385.27
4.3,689.21,375.76
4.533,689.21,382.55
4.566,687.85,390.71
4.633,683.77,390.71
4.766,679.7,398.86
4.866,676.98,397.5
5.1,676.98,390.71
5.166,671.54,383.91
5.433,676.98,379.83
5.566,671.54,378.47
5.633,663.39,381.19
5.7,653.87,379.83
5.9,660.67,379.83
5.966,679.7,378.47
6.033,683.77,378.47
6.133,694.65,382.55
6.366,685.13,382.55
6.466,667.46,385.27
6.5,655.23,387.99
6.533,649.8,389.35
6.566,640.28,397.5
6.633,636.21,409.73
6.7,640.28,400.22
6.733,643,392.07
6.766,645.72,382.55
6.833,651.16,371.68
7.3,643,370.32
7.333,647.08,368.96
7.466,644.36,368.96
7.5,640.28,375.76
7.833,644.36,383.91
8.066,640.28,382.55
8.1,632.13,382.55
8.166,636.21,382.55
8.233,640.28,386.63
8.266,643,387.99
8.333,643,390.71
8.466,643,405.66
8.533,655.23,408.37
8.7,666.1,411.09
8.933,674.26,409.73
8.966,670.18,407.01
9.233,678.34,407.01
9.433,686.49,407.01
9.633,681.05,405.66
9.7,668.82,404.3
9.933,676.98,398.86
10.033,682.41,398.86
10.066,687.85,398.86
10.166,698.72,408.37
10.266,709.59,408.37
10.4,713.67,409.73
10.433,717.75,419.25
10.5,720.47,427.4
10.9,727.26,427.4
10.966,731.34,431.48
11.266,721.83,439.63
11.566,712.31,438.27
11.766,708.24,439.63
12.033,706.88,435.56
12.1,696,426.04
12.133,702.8,420.61
12.233,709.59,409.73
12.3,719.11,407.01
12.566,724.54,404.3
12.7,734.06,407.01
12.833,743.57,409.73
12.966,751.73,407.01
13.366,727.26,404.3
13.466,706.88,405.66
13.533,690.57,407.01
13.633,687.85,405.66
13.666,679.7,404.3
13.866,702.8,404.3
13.966,704.16,396.14
14.033,694.65,393.42
14.466,679.7,404.3
14.566,666.1,407.01
