sec,x,y
0,509.69,1070.92
0.433,540.95,1074.99
0.466,543.67,1064.12
0.5,547.75,1007.04
0.533,555.9,910.55
0.566,545.03,674.07
0.633,531.44,583.01
0.666,515.13,501.47
0.7,509.69,437.6
0.733,511.05,417.21
0.766,528.72,422.65
0.833,547.75,452.54
0.866,557.26,464.78
0.966,520.56,437.6
1.1,535.51,443.03
1.133,549.1,456.62
1.166,559.98,487.88
1.233,557.26,512.34
1.266,554.54,528.65
1.333,580.36,535.45
1.366,645.6,498.75
1.433,679.57,497.39
1.466,694.52,506.91
1.5,731.22,530.01
1.533,739.37,544.96
1.633,699.96,549.04
1.666,649.67,553.12
1.7,608.9,569.42
1.733,570.85,612.91
1.766,539.59,723
1.833,530.08,769.21
1.866,536.87,800.46
1.9,543.67,833.08
1.933,554.54,845.31
2.033,545.03,820.85
2.133,528.72,801.82
2.166,532.8,776
2.233,535.51,748.82
2.266,535.51,714.84
2.305,520.14,686.19
2.333,530.08,695.82
2.338,522.04,663.67
2.366,539.59,637.38
2.371,517.33,603.81
2.405,525.77,604.5
2.433,550.46,625.15
2.438,527.78,577.24
2.466,553.18,596.61
2.471,539.91,556.76
2.5,564.05,576.22
2.505,547.44,528.31
2.533,570.85,547.68
2.538,556.01,506.88
2.566,580.36,512.34
2.571,560.71,474.7
2.605,565.64,481.68
2.633,589.88,500.11
2.638,566.88,468.12
2.671,571.92,469.43
2.7,591.24,490.6
2.705,567.12,459.17
2.805,581.04,452.78
2.871,581.45,450.12
2.9,604.83,483.8
2.905,583.29,452.54
2.971,583.63,458.21
3,608.9,483.8
3.005,589.39,458.19
3.1,599.39,487.88
3.105,577.42,466.04
3.133,580.36,496.03
3.138,550.11,476.07
3.166,534.15,498.75
3.3,519.2,523.22
3.366,528.72,530.01
3.466,564.05,551.76
3.5,576.29,549.04
3.533,589.88,558.55
3.566,642.88,562.63
3.633,663.27,566.71
3.7,652.39,563.99
3.766,649.67,550.4
3.9,621.13,557.19
3.933,593.95,555.83
3.966,612.98,570.78
4.033,636.08,580.3
4.1,645.6,606.12
4.166,593.95,581.66
4.233,569.49,534.09
4.266,535.51,489.24
4.3,511.05,445.75
4.333,502.9,432.16
4.366,509.69,421.29
4.433,527.36,432.16
4.466,536.87,441.67
4.5,555.9,481.09
4.533,557.26,485.16
4.566,573.57,528.65
4.633,585.8,546.32
4.666,592.59,551.76
4.7,614.34,558.55
4.766,610.26,595.25
4.866,615.7,595.25
5.1,604.83,584.37
5.166,577.64,584.37
5.233,574.93,580.3
5.3,562.69,608.84
5.333,565.41,614.27
5.433,602.11,646.89
5.466,608.9,637.38
5.5,615.7,640.1
5.533,634.73,641.45
5.566,648.32,655.04
5.7,651.03,665.92
5.933,653.75,646.89
5.966,655.11,603.4
6.033,653.75,597.96
6.066,648.32,584.37
6.133,652.39,583.01
6.366,648.32,583.01
6.5,642.88,584.37
6.666,621.13,610.2
6.7,591.24,631.94
6.733,574.93,652.33
6.833,600.75,603.4
6.866,623.85,573.5
6.9,636.08,557.19
7.3,640.16,563.99
7.433,623.85,539.52
7.466,621.13,520.5
7.5,618.42,501.47
7.533,619.78,481.09
7.566,621.13,460.7
7.733,634.73,493.32
7.766,648.32,538.17
7.833,670.06,612.91
7.9,659.19,612.91
7.966,651.03,603.4
8,653.75,599.32
8.033,644.24,525.93
8.066,648.32,512.34
8.1,676.86,494.68
8.133,699.96,498.75
8.166,706.76,508.27
8.266,694.52,497.39
8.3,685.01,477.01
8.333,670.06,467.49
8.466,641.52,482.44
8.533,622.49,523.22
8.566,629.29,562.63
8.633,665.98,616.99
8.7,670.06,565.35
8.733,682.29,528.65
8.766,698.6,509.63
8.833,755.68,486.52
8.933,712.19,489.24
9.033,705.4,513.7
9.066,706.76,519.14
9.1,708.11,536.81
9.166,686.37,535.45
9.233,615.7,483.8
9.266,587.16,468.85
9.3,577.64,441.67
9.333,596.67,400.9
9.366,611.62,387.31
9.433,612.98,366.92
9.566,608.9,392.75
9.633,633.37,449.83
9.666,622.49,462.06
9.7,619.78,481.09
9.833,599.39,497.39
9.866,579,508.27
9.9,553.18,521.86
9.933,532.8,534.09
9.966,517.85,553.12
10.033,487.95,580.3
10.266,505.61,568.07
10.3,509.69,580.3
10.333,535.51,573.5
10.366,546.39,574.86
10.4,554.54,574.86
10.433,572.21,577.58
10.466,569.49,542.24
10.5,568.13,530.01
10.566,568.13,512.34
10.633,579,500.11
10.7,585.8,497.39
10.9,551.82,510.98
10.933,526,525.93
10.966,485.23,536.81
11.033,463.48,562.63
11.066,470.28,554.47
11.1,475.72,546.32
11.166,462.12,551.76
11.266,513.77,550.4
11.3,536.87,547.68
11.333,568.13,558.55
11.366,591.24,568.07
11.433,573.57,580.3
11.533,550.46,568.07
11.633,569.49,559.91
11.766,539.59,540.88
11.833,501.54,520.5
11.9,530.08,521.86
11.933,564.05,525.93
11.966,581.72,540.88
12.033,579,568.07
12.1,574.93,573.5
12.133,573.57,559.91
12.166,540.95,544.96
12.233,505.61,544.96
12.266,487.95,544.96
12.3,459.41,544.96
12.333,437.66,568.07
12.366,439.02,597.96
12.433,447.17,600.68
12.466,474.36,585.73
12.5,500.18,612.91
12.533,549.1,602.04
12.566,565.41,577.58
12.633,581.72,569.42
12.7,539.59,554.47
12.733,540.95,538.17
12.833,551.82,520.5
12.966,542.31,551.76
13.033,493.38,574.86
13.1,483.87,561.27
13.166,485.23,538.17
13.366,496.1,534.09
13.466,506.97,553.12
13.533,519.2,540.88
13.666,530.08,572.14
13.7,532.8,589.81
13.733,532.8,616.99
13.866,482.51,592.53
13.9,459.41,553.12
13.933,433.58,497.39
13.966,434.94,468.85
14.033,448.53,434.88
14.066,481.15,400.9
14.266,482.51,451.19
14.4,459.41,474.29
14.466,440.38,515.06
14.5,426.79,527.29
14.533,405.04,535.45
14.566,386.02,547.68
14.666,411.84,520.5
14.7,425.43,489.24
14.733,448.53,464.78
14.766,447.17,443.03
14.833,474.36,430.8
14.866,490.66,425.36
14.933,500.18,434.88
14.966,505.61,447.11
15.033,523.28,452.54
15.066,496.1,472.93
15.133,460.77,474.29
15.2,444.46,474.29
15.266,459.41,472.93
15.5,467.56,457.98
15.533,502.9,445.75
15.633,513.77,429.44
15.7,535.51,414.49
15.866,526,429.44
15.9,497.46,433.52
15.966,459.41,426.72
16.066,460.77,387.31
16.1,483.87,385.95
16.133,493.38,385.95
16.2,516.49,384.59
16.266,573.57,429.44
16.3,591.24,467.49
16.333,598.03,483.8
16.433,566.77,530.01
16.466,536.87,519.14
16.5,505.61,494.68
16.533,479.79,460.7
16.566,444.46,437.6
16.633,411.84,428.08
16.667,430.87,428.08
16.7,447.17,428.08
16.767,471.64,414.49
16.867,458.05,403.62
16.933,444.46,391.39
17.033,468.92,369.64
17.067,516.49,349.26
17.1,532.8,349.26
17.133,546.39,353.33
17.167,581.72,372.36
17.233,602.11,385.95
17.267,630.65,441.67
17.3,651.03,481.09
17.333,667.34,515.06
17.433,646.96,521.86
17.467,602.11,479.73
17.5,580.36,462.06
17.533,558.62,445.75
17.633,540.95,413.13
17.667,559.98,402.26
17.733,577.64,419.93
17.867,527.36,451.19
17.9,519.2,462.06
18,521.92,489.24
18.067,553.18,504.19
