sec,x,y
0,718.35,1057.15
0.033,734.88,1049.37
0.133,740.71,1040.62
0.267,705.07,1039.79
0.868,719.99,1033.16
0.935,734.91,995.86
0.968,742.37,963.53
1.035,749.83,930.38
1.068,757.29,888.11
1.101,762.26,840.86
1.135,782.15,742.22
1.168,792.93,687.52
1.202,790.44,693.32
1.235,804.53,639.44
1.268,812.82,585.56
1.302,826.08,539.15
1.335,850.12,457.92
1.369,850.95,439.68
1.435,856.75,432.22
1.569,850.12,413.99
1.636,848.46,409.01
1.669,853.44,396.58
1.703,864.21,372.54
1.736,865.04,367.57
1.769,854.27,379.17
1.836,847.64,411.5
1.87,844.32,428.91
1.936,854.27,404.87
2.003,860.9,394.09
2.137,849.29,404.87
2.304,843.49,412.33
2.337,841,428.91
2.37,835.2,435.54
2.437,829.4,454.6
2.471,820.28,475.32
2.504,805.36,497.7
2.537,771.38,562.36
2.571,766.41,605.46
2.638,751.49,660.99
2.671,754.8,699.12
2.704,758.12,723.99
2.738,751.49,723.99
2.771,755.63,703.27
2.871,755.63,689.17
3.005,753.14,692.49
3.138,762.26,701.61
3.205,765.58,704.09
3.239,761.43,723.16
3.305,771.38,733.93
3.339,771.38,738.32
3.372,782.35,763.18
3.439,784.54,744.17
3.472,796.24,727.35
3.506,794.78,701.76
3.539,796.97,685.68
3.573,791.12,668.13
3.639,787.46,684.22
3.673,778.69,698.11
3.706,774.3,714.19
3.74,761.14,739.78
3.773,753.1,752.94
4.174,771.38,764.64
4.24,788.19,766.1
4.307,796.97,774.15
4.407,793.31,772.69
4.608,820.37,794.62
4.641,828.41,773.42
4.675,831.33,760.26
4.708,859.12,740.51
4.741,870.81,720.77
4.775,897.87,658.63
4.841,916.88,595.75
4.875,941.74,525.56
4.908,962.94,462.68
4.942,951.97,421
4.975,843.76,451.71
5.042,799.16,519.71
5.075,780.15,573.08
5.109,818.9,583.32
5.142,834.99,561.38
5.175,874.47,524.83
5.242,856.92,546.03
5.276,849.61,572.35
5.309,854.73,596.48
5.342,858.39,593.55
5.376,848.88,613.29
5.409,859.12,609.64
5.476,851.81,618.41
5.509,841.57,644
5.543,822.56,654.24
5.576,797.7,731.01
5.643,811.59,774.15
5.676,821.83,799.74
5.71,862.04,799.01
5.743,878.86,799.01
5.776,944.66,751.48
5.843,926.38,724.43
5.877,941.74,706.15
5.91,927.84,680.56
5.943,888.36,680.56
5.977,859.85,710.54
6.044,818.17,741.25
6.077,797.7,774.15
6.11,783.81,815.82
6.144,816.71,809.24
6.177,892.02,739.78
6.244,932.23,684.22
6.277,961.48,646.2
6.311,973.18,596.48
6.378,922.73,618.41
6.444,883.24,695.91
6.478,840.84,750.02
6.511,807.2,763.91
6.545,757.49,784.38
6.578,708.5,714.92
6.645,682.18,675.44
6.678,668.29,632.3
6.711,663.9,598.67
6.745,655.86,576.01
6.778,675.6,579.66
6.845,663.9,597.21
6.878,676.33,627.92
6.912,671.21,680.56
6.945,673.4,722.24
6.979,732.63,741.25
7.045,760.41,725.16
7.079,797.7,692.26
7.112,826.95,664.47
7.146,845.22,635.23
7.179,845.22,625.72
7.246,805.74,651.31
7.279,785.27,671.79
7.313,754.56,717.85
7.346,743.59,720.04
7.379,707.77,724.43
7.48,684.37,722.97
7.78,715.81,697.38
7.847,728.97,687.14
7.88,728.24,677.64
7.914,733.36,671.06
7.947,741.4,663.01
7.98,736.28,644
8.114,728.24,617.68
8.181,688.76,535.79
8.248,701.19,467.06
8.281,737.01,434.16
8.314,777.96,424.66
8.348,784.54,417.35
8.381,794.04,393.22
8.448,805.74,362.51
8.481,823.29,348.62
8.515,840.84,342.77
8.548,849.61,356.66
8.582,789.66,435.62
8.648,774.3,508.74
8.682,785.27,550.42
8.715,767.72,584.05
8.748,758.95,608.18
8.782,748.71,590.63
8.849,738.48,589.17
8.882,726.78,564.31
8.949,707.04,540.91
8.982,690.95,540.91
9.116,674.14,564.31
9.149,675.6,594.28
9.183,688.76,604.52
9.383,715.81,602.33
9.483,693.15,569.43
9.517,694.61,537.25
9.55,685.1,511.66
9.583,682.91,480.96
9.717,676.33,512.4
9.784,658.05,554.07
9.85,632.46,587.7
9.917,650.01,635.23
9.951,632.46,638.88
10.051,605.41,646.93
10.084,614.18,626.46
10.151,628.8,607.45
10.184,658.78,621.34
10.251,697.53,617.68
10.285,720.93,648.39
10.318,749.44,680.56
10.351,769.19,682.75
