sec,x,y
0,682.53,1056.53
0.133,677.02,1038.07
0.2,687.38,1049.26
0.868,687.99,1035.32
0.901,676.47,965.61
0.935,665.56,815.28
0.968,647.98,729.81
1.035,642.15,631.63
1.068,635.34,543.16
1.101,622.71,497.47
1.135,619.79,438.17
1.168,619.79,433.31
1.268,607.15,426.5
1.302,601.32,423.59
1.335,590.63,414.84
1.402,584.79,416.78
1.435,570.21,420.67
1.469,549.79,440.11
1.482,554.22,437.48
1.502,541.05,445.94
1.536,535.21,445.94
1.569,540.07,435.25
1.636,538.13,420.67
1.669,538.13,409.97
1.703,537.16,391.5
1.736,522.57,359.42
1.836,524.52,376.92
1.87,528.41,397.34
1.936,526.46,399.28
2.137,520.63,404.14
2.304,522.57,422.61
2.337,520.63,435.25
2.37,518.69,442.06
2.437,520.63,453.72
2.471,520.63,461.5
2.504,526.46,477.05
2.537,543.96,520.8
2.571,552.71,553.85
2.638,555.63,577.19
2.671,551.74,585.93
2.704,548.82,556.77
2.738,543.96,521.77
2.771,529.38,431.36
2.838,532.3,407.06
2.871,537.16,402.2
2.905,553.68,400.25
2.938,560.49,401.23
2.971,550.77,415.81
3.038,554.66,422.61
3.072,560.49,421.64
3.138,583.82,407.06
3.172,574.1,390.53
3.239,582.85,391.5
3.272,572.15,407.06
3.305,580.9,411.92
3.339,577.01,426.5
3.372,556.6,435.25
3.439,537.16,410.95
3.472,524.52,374.98
3.506,507.02,345.81
3.539,502.16,324.43
3.573,514.8,313.73
3.639,523.55,324.43
3.673,529.38,342.9
3.706,538.13,356.51
3.74,544.93,372.06
3.773,536.18,375.95
3.906,549.79,377.89
4.073,552.71,385.67
4.107,547.85,397.34
4.14,542.99,417.75
4.174,549.79,451.78
4.24,554.66,480.94
4.274,561.46,489.69
4.307,565.35,495.52
4.341,575.07,502.33
4.441,593.54,506.22
4.508,605.21,540.24
4.541,599.37,565.52
4.574,564.38,638.43
4.641,537.16,638.43
4.675,506.05,604.41
4.708,476.88,558.71
4.741,454.52,510.11
4.775,507.99,415.81
4.841,567.29,430.39
4.875,666.45,477.05
4.908,693.67,564.55
4.942,674.23,604.41
4.975,620.76,592.74
5.008,631.49,587.7
5.042,618.82,534.41
5.075,611.04,481.91
5.109,613.47,446.15
5.142,623.68,472.19
5.175,671.31,536.35
5.242,668.4,560.66
5.276,657.7,537.33
5.309,637.29,498.44
5.342,625.62,459.55
5.376,615.9,428.45
5.443,617.85,438.17
5.476,628.54,454.69
5.509,646.04,475.11
5.543,657.7,518.86
5.576,699.51,615.1
5.643,706.31,654.96
5.676,710.2,697.73
5.71,694.65,723.01
5.743,682.01,717.18
5.776,635.34,669.54
5.843,636.32,647.18
5.877,643.12,619.96
5.91,642.15,603.43
5.977,628.54,629.68
6.044,612.98,667.6
6.077,594.51,717.18
6.11,618.82,774.53
6.144,675.2,764.81
6.177,723.81,651.07
6.211,698.44,642.38
6.244,740.34,586.91
6.277,726.73,532.47
6.311,707.28,501.36
6.344,701.45,483.86
6.378,689.78,505.25
6.444,692.7,540.24
6.478,685.9,582.05
6.511,662.56,630.65
6.545,632.43,659.82
6.578,557.57,604.41
6.611,564.38,596.63
6.645,542.02,551.91
6.678,543.96,506.22
6.711,548.82,459.55
6.745,555.63,436.22
6.778,575.07,438.17
6.845,577.01,461.5
6.878,590.63,499.41
6.912,601.32,542.19
6.945,632.43,585.93
6.979,706.31,612.18
7.045,711.17,569.41
7.079,741.31,531.49
7.112,730.62,491.64
7.146,727.7,459.55
7.179,711.17,438.17
7.246,699.51,465.39
7.279,682.98,489.69
7.313,694.65,514
7.346,686.87,514.97
7.379,654.79,453.72
7.446,651.87,406.09
7.48,631.46,365.26
7.513,618.82,332.2
7.546,605.21,309.84
7.58,599.37,250.54
7.646,580.9,245.68
7.68,563.4,254.43
7.713,562.43,272.9
7.747,561.46,299.15
7.78,590.63,319.56
7.847,595.49,345.81
7.88,615.9,358.45
7.914,624.65,364.28
7.98,601.32,368.17
8.047,592.57,363.31
8.081,569.24,390.53
8.114,565.35,400.25
8.181,577.01,406.09
8.281,585.76,411.92
8.314,593.54,416.78
8.348,597.43,422.61
8.381,578.96,372.06
8.448,543.96,325.4
8.481,517.71,300.12
8.515,498.27,296.23
8.548,500.67,289.87
8.582,523.55,318.59
8.615,512.85,323.45
8.648,530.35,379.84
8.682,518.96,445.44
8.715,537.16,508.16
8.748,567.29,515.94
8.782,563.4,464.42
8.849,559.52,432.33
8.882,537.16,408.03
8.915,526.46,399.28
8.949,538.13,394.42
8.982,581.88,416.78
9.016,578.67,419.88
