sec,x,y
0,649.27,393.1
0.567,653.69,386.47
0.734,658.1,371.01
1.034,671.35,375.43
1.335,671.35,386.47
1.368,666.94,393.1
1.535,664.73,406.35
2.036,662.52,419.6
2.103,666.94,406.35
2.203,662.52,401.93
2.336,647.06,393.1
2.637,636.02,384.26
2.77,636.02,373.22
2.937,655.9,359.97
3.038,669.15,357.76
3.138,684.6,364.39
3.572,673.56,375.43
3.638,658.1,384.26
3.772,647.06,384.26
3.872,631.6,379.85
3.939,618.35,384.26
4.173,600.69,375.43
4.34,624.98,373.22
4.406,638.23,353.34
4.473,649.27,346.72
4.573,669.15,340.09
4.673,664.73,353.34
4.774,671.35,384.26
5.308,669.15,390.89
5.675,660.31,401.93
5.909,660.31,395.3
6.176,644.85,410.76
6.61,640.44,395.3
6.71,653.69,368.8
6.81,653.69,359.97
6.977,664.73,377.64
7.177,686.81,406.35
7.745,649.27,399.72
8.045,655.9,424.01
8.813,655.9,404.14
8.913,651.48,393.1
9.147,649.27,379.85
9.715,664.73,379.85
10.015,684.6,386.47
10.916,691.23,401.93
11.083,691.23,415.18
11.751,675.77,388.68
11.885,642.65,364.39
11.985,613.94,357.76
12.085,618.35,368.8
12.185,664.73,406.35
12.285,677.98,417.39
12.753,677.98,404.14
12.853,677.98,388.68
13.02,682.4,375.43
13.12,675.77,388.68
13.42,671.35,382.05
14.188,700.06,384.26
14.355,728.77,404.14
15.023,693.44,401.93
15.223,658.1,375.43
15.39,620.56,348.93
15.592,597.29,350.72
15.692,591.92,357.88
15.792,620.56,377.57
15.892,643.83,375.78
15.992,670.69,381.15
16.092,699.33,368.62
16.193,695.75,373.99
16.293,670.69,370.41
16.426,647.41,375.78
16.627,593.71,386.52
16.727,575.81,379.36
16.827,582.97,363.25
16.927,649.2,386.52
17.027,658.16,373.99
17.127,661.74,361.46
18.129,661.74,372.2
18.496,659.95,377.57
18.696,633.09,382.94
18.997,595.5,427.7
19.097,599.08,416.96
19.197,615.19,411.59
19.297,616.98,393.68
19.398,640.25,379.36
19.498,658.16,382.94
19.598,670.69,391.89
19.932,670.69,386.52
20.032,658.16,381.15
20.104,656.37,373.99
