participant,story,total,length,diff,diffpercent
Jessika,Cinderella,11.49,22,10.51,0.4777272727272727
Derek,Cinderella,9.51,22,12.49,0.5677272727272727
Vanessa,Cinderella,20.38,22,1.620000000000001,0.07363636363636368
Josh,Cinderella,20.72,22,1.2800000000000011,0.05818181818181823
Lynnette,Cinderella,11.86,22,10.14,0.46090909090909093
Crystal,Cinderella,21.61,22,0.39000000000000057,0.017727272727272755
Adam,Cinderella,11.7,22,10.3,0.4681818181818182
Brad,Cinderella,12.64,22,9.36,0.4254545454545454
Alicia,Cinderella,11.35,22,10.65,0.4840909090909091
Joe,Cinderella,22.05,22,-0.05000000000000071,-0.002272727272727305
Svenna,Cinderella,21.55,22,0.4499999999999993,0.020454545454545423
Monica,Cinderella,11.3,22,10.7,0.48636363636363633
Valerie,Cinderella,14.76,22,7.24,0.3290909090909091
Lucy,Cinderella,20.89,22,1.1099999999999994,0.050454545454545426
ChrissyK,Cinderella,21.85,22,0.14999999999999858,0.006818181818181754
Marla,Cinderella,20.35,22,1.6499999999999986,0.07499999999999994
Alyssa,Cinderella,13.55,22,8.45,0.38409090909090904
Melissa,Cinderella,20.57,22,1.4299999999999997,0.06499999999999999
Lindsay,Cinderella,7.29,22,14.71,0.6686363636363637
Michael,Cinderella,12.4,22,9.6,0.43636363636363634
Erin,Cinderella,11.99,22,10.01,0.455
Allison,Cinderella,19.17,22,2.8299999999999983,0.12863636363636355
DeAnna,Cinderella,21.59,22,0.41000000000000014,0.018636363636363642
Sara,Cinderella,21.12,22,0.879999999999999,0.03999999999999995
Desiree,Cinderella,16.74,22,5.260000000000002,0.23909090909090916
Matt,Cinderella,22.3,22,-0.3000000000000007,-0.013636363636363669
Tori,Cinderella,15.95,22,6.050000000000001,0.275
Amy,Cinderella,14.72,22,7.279999999999999,0.3309090909090909
Chris,Cinderella,19.69,22,2.3099999999999987,0.10499999999999994
Jilliean,Cinderella,20.54,22,1.4600000000000009,0.0663636363636364
Cami,Cinderella,21.88,22,0.120000000000001,0.0054545454545455
Deniz,Cinderella,16.57,22,5.43,0.2468181818181818
Stephanie,Cinderella,16.26,22,5.739999999999998,0.2609090909090908
Mauro,Cinderella,21.46,22,0.5399999999999991,0.024545454545454506
Cora,Cinderella,19.95,22,2.0500000000000007,0.09318181818181821
Aya,Cinderella,21.62,22,0.379999999999999,0.017272727272727228
Hayley,Cinderella,16.81,22,5.190000000000001,0.23590909090909096
Danielle,Cinderella,11.84,22,10.16,0.46181818181818185
Aman,Cinderella,9.62,22,12.38,0.5627272727272727
Phuong,Cinderella,21.69,22,0.3099999999999987,0.014090909090909032
Jaylin,Cinderella,20.33,22,1.6700000000000017,0.07590909090909098
Yasmine,Cinderella,12.97,22,9.03,0.4104545454545454
Austin,Cinderella,19.83,22,2.1700000000000017,0.09863636363636372
Matthew,Cinderella,22,22,0,0
JJ,Cinderella,18.74,22,3.2600000000000016,0.14818181818181825
Ranem,Cinderella,17.56,22,4.440000000000001,0.20181818181818187
Gina,Cinderella,21.53,22,0.46999999999999886,0.02136363636363631
Jesse,Cinderella,21.64,22,0.35999999999999943,0.016363636363636337
Jessika,Goldilocks,20.97,21,0.030000000000001137,0.0014285714285714828
Derek,Goldilocks,21.02,21,-0.019999999999999574,-9.523809523809321e-4
Vanessa,Goldilocks,18.63,21,2.370000000000001,0.1128571428571429
Josh,Goldilocks,20.6,21,0.3999999999999986,0.01904761904761898
Lynnette,Goldilocks,14.55,21,6.449999999999999,0.3071428571428571
Laura (missing stories),Goldilocks,20.23,21,0.7699999999999996,0.036666666666666646
Rebecca,Goldilocks,20.2,21,0.8000000000000007,0.038095238095238126
Crystal,Goldilocks,20.98,21,0.019999999999999574,9.523809523809321e-4
ChrissyG,Goldilocks,18.57,21,2.4299999999999997,0.1157142857142857
Adam,Goldilocks,21.32,21,-0.3200000000000003,-0.015238095238095252
Brad,Goldilocks,20.92,21,0.0799999999999983,0.0038095238095237284
